City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qionghu,28.843,112.3522,66.13,91,100,10.07,CN,1682674138
1,hobe sound,27.0595,-80.1364,70.95,89,0,0.0,US,1682674138
2,utrik,11.2278,169.8474,81.09,83,56,20.33,MH,1682674030
3,adamstown,-25.066,-130.1015,74.68,69,22,9.82,PN,1682673997
4,tura,25.5198,90.2201,91.13,29,100,7.25,IN,1682674140
5,avarua,-21.2078,-159.775,75.25,69,75,5.75,CK,1682674017
6,iqaluit,63.7506,-68.5145,28.13,92,100,10.36,CA,1682674049
7,bilibino,68.0546,166.4372,9.27,86,13,6.44,RU,1682674064
8,kristiansund,63.1115,7.732,43.45,49,0,6.91,NO,1682674142
9,bethel,41.3712,-73.414,46.27,89,100,3.44,US,1682673982
10,aykhal,66.0,111.5,31.44,97,100,7.58,RU,1682674033
11,waitangi,-43.9535,-176.5597,53.82,89,80,13.51,NZ,1682673994
12,puerto deseado,-47.7503,-65.8938,53.71,50,100,10.13,AR,1682674145
13,san patricio,28.017,-97.5169,73.26,94,1,6.29,US,1682674146
14,port shepstone,-30.7414,30.455,75.79,66,26,8.59,ZA,1682674146
15,jiazi,22.8779,116.067,75.43,80,42,8.28,CN,1682674147
16,albany,42.6001,-73.9662,42.53,91,70,1.16,US,1682673789
17,olonkinbyen,70.9221,-8.7187,25.81,91,100,27.6,SJ,1682674016
18,ushuaia,-54.8,-68.3,33.46,80,0,6.91,AR,1682674023
19,atafu village,-8.5421,-172.5159,84.65,75,95,20.58,TK,1682674001
20,college,64.8569,-147.8028,30.52,72,75,0.0,US,1682674000
21,akureyri,65.6835,-18.0878,28.33,64,75,2.3,IS,1682674032
22,port lincoln,-34.7333,135.8667,57.85,58,99,11.77,AU,1682673814
23,port alfred,-33.5906,26.891,72.18,79,66,1.99,ZA,1682674049
24,san antonio de pale,-1.4014,5.6325,80.62,81,100,10.67,GQ,1682674152
25,puerto natales,-51.7236,-72.4875,38.73,97,100,2.33,CL,1682674024
26,rugaji,57.0,27.1333,48.42,42,5,6.58,LV,1682674154
27,thompson,55.7435,-97.8558,24.96,86,0,3.44,CA,1682674027
28,port douglas,-16.4833,145.4667,76.35,80,54,12.15,AU,1682674155
29,bazar-korgon,41.0376,72.7459,78.93,22,35,5.48,KG,1682674155
30,puerto ayora,-0.7393,-90.3518,76.55,97,71,3.0,EC,1682674147
31,hermansverk,61.1846,6.8502,41.45,55,0,4.61,NO,1682674157
32,codrington,-38.2667,141.9667,51.12,73,45,7.02,AU,1682674157
33,aasiaat,68.7098,-52.8699,14.52,100,95,7.43,GL,1682674059
34,colonia,50.9333,6.95,58.95,83,100,8.05,DE,1682673958
35,holualoa,19.6228,-155.9522,71.44,95,40,11.5,US,1682674154
36,ribeira grande,38.5167,-28.7,62.78,77,20,23.0,PT,1682674011
37,grytviken,-54.2811,-36.5092,32.07,74,76,7.16,GS,1682674034
38,port-aux-francais,-49.35,70.2167,43.18,69,17,22.66,TF,1682673998
39,tiksi,71.6872,128.8694,26.1,89,100,2.98,RU,1682674124
40,edinburgh of the seven seas,-37.0676,-12.3116,62.19,79,100,7.25,SH,1682673919
41,anadyr,64.75,177.4833,16.3,86,75,8.95,RU,1682674094
42,namibe,-15.1961,12.1522,81.72,61,100,4.41,AO,1682673994
43,yoichi,43.2039,140.7703,51.4,85,100,4.65,JP,1682674164
44,kruje,41.5092,19.7928,60.82,39,0,4.61,AL,1682674164
45,jiangyou,31.7667,104.7167,66.18,56,100,5.97,CN,1682674165
46,lebu,-37.6167,-73.65,58.46,81,100,25.86,CL,1682674166
47,punta arenas,-53.15,-70.9167,37.51,87,100,3.44,CL,1682673877
48,yellowknife,62.456,-114.3525,30.72,93,40,2.3,CA,1682674033
49,kingaroy,-26.5333,151.8333,64.71,62,88,5.82,AU,1682674167
50,midvagur,62.0511,-7.1939,38.23,65,75,12.66,FO,1682674168
51,port mathurin,-19.6833,63.4167,79.07,79,22,13.09,MU,1682674073
52,laguna,38.421,-121.4238,69.46,68,0,5.75,US,1682674054
53,archangelos,36.2149,28.1149,64.38,54,0,17.54,GR,1682674169
54,minas de marcona,-15.2119,-75.1103,60.15,91,28,7.9,PE,1682674170
55,nagqu,31.5,92.0,39.24,45,100,8.03,CN,1682674171
56,hawaiian paradise park,19.5933,-154.9731,70.9,88,0,3.44,US,1682674085
57,guerrero negro,27.9769,-114.0611,57.15,93,23,12.5,MX,1682674172
58,margaret river,-33.95,115.0667,60.28,58,70,8.88,AU,1682674039
59,ribeira brava,32.65,-17.0667,78.71,57,71,1.72,PT,1682674173
60,new norfolk,-42.7826,147.0587,51.93,55,100,1.01,AU,1682674173
61,kavaratti,10.5669,72.642,83.82,73,91,10.47,IN,1682674174
62,sinnar,13.5691,33.5672,95.63,32,79,3.78,SD,1682674175
63,rio verde de mato grosso,-18.9181,-54.8442,66.52,93,0,3.29,BR,1682674175
64,naze,28.3667,129.4833,70.72,81,85,10.4,JP,1682674176
65,vila velha,-20.3297,-40.2925,75.15,93,40,2.3,BR,1682674177
66,bloemfontein,-29.1211,26.214,72.88,49,0,10.36,ZA,1682674177
67,udachny,66.4167,112.4,37.45,59,100,10.63,RU,1682674095
68,magalia,39.8121,-121.5783,60.55,46,6,7.05,US,1682674178
69,tongliao,43.6125,122.2653,52.83,82,93,3.69,CN,1682674179
70,sola,-13.8833,167.55,82.06,68,4,3.67,VU,1682674009
71,antonio enes,-16.2325,39.9086,83.34,59,11,10.22,MZ,1682674180
72,isafjordur,66.0755,-23.124,30.24,64,40,16.11,IS,1682674007
73,santa elena de uairen,4.6167,-61.1333,66.25,94,97,1.12,VE,1682674181
74,qaqortoq,60.7167,-46.0333,29.5,66,6,8.48,GL,1682674067
75,oranjemund,-28.55,16.4333,64.69,76,56,13.27,NA,1682674183
76,vorgashor,67.5833,63.95,21.56,86,100,16.11,RU,1682674084
77,yamada,39.4667,141.95,56.93,67,35,2.66,JP,1682674184
78,timimoun,29.2639,0.231,92.35,8,0,14.0,DZ,1682674185
79,sungailiat,-1.85,106.1333,84.13,71,100,6.93,ID,1682674186
80,ixtapa,20.7,-105.2,65.89,56,0,2.19,MX,1682674186
81,lerwick,60.1545,-1.1494,44.6,95,100,17.65,GB,1682674187
82,oppdal,62.5943,9.6912,28.85,70,39,2.46,NO,1682674187
83,aral,40.5156,81.2636,75.74,8,99,6.24,CN,1682674166
84,klaksvik,62.2266,-6.589,38.32,56,100,18.45,FO,1682674188
85,howrah,22.5892,88.3103,93.2,52,75,3.44,IN,1682674189
86,letlhakeng,-24.0944,25.0298,85.12,28,5,9.37,BW,1682674190
87,turabah,21.2141,41.6331,87.84,24,4,17.72,SA,1682674190
88,hamilton,39.1834,-84.5333,55.65,95,100,5.75,US,1682674052
89,acapulco de juarez,16.8634,-99.8901,78.62,78,40,2.3,MX,1682674100
90,namanga,-2.5433,36.7905,74.88,60,92,9.62,KE,1682674193
91,gizo,-8.103,156.8419,83.71,72,59,4.23,SB,1682674193
92,stanley,54.868,-1.6985,45.72,92,100,3.36,GB,1682674046
93,invercargill,-46.4,168.35,53.02,82,5,1.99,NZ,1682673916
94,hammerfest,70.6634,23.6821,45.05,61,0,8.05,NO,1682674195
95,enewetak,11.3474,162.3373,80.64,84,18,20.42,MH,1682674162
96,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,51,75,11.18,RU,1682674100
97,parkes,-33.1333,148.1833,71.35,51,100,8.16,AU,1682674197
98,vila franca do campo,37.7167,-25.4333,63.01,86,38,13.53,PT,1682674005
99,yazd,31.8972,54.3675,75.31,33,20,4.61,IR,1682674198
100,labytnangi,66.6572,66.4183,27.05,70,100,8.63,RU,1682674094
101,susuman,62.7833,148.1667,22.91,84,34,2.55,RU,1682674041
102,beira,-19.8436,34.8389,84.29,54,40,8.05,MZ,1682674199
103,longyearbyen,78.2186,15.6401,30.04,93,100,8.05,SJ,1682674057
104,ilulissat,69.2167,-51.1,30.22,64,15,1.14,GL,1682673995
105,lukolela,-1.0605,17.1821,81.57,76,83,0.87,CD,1682674201
106,weno,7.4515,151.8468,80.55,89,100,4.61,FM,1682674203
107,isna,25.2934,32.554,93.97,13,0,15.28,EG,1682674204
108,berdigestyakh,62.0989,126.6992,33.4,96,100,3.11,RU,1682674205
109,kulhudhuffushi,6.6221,73.07,85.06,68,100,6.02,MV,1682674206
110,papatowai,-46.5619,169.4708,50.63,93,35,4.7,NZ,1682674045
111,ngereklmadel,7.4883,134.4856,80.69,94,75,3.44,PW,1682674208
112,kachug,53.9606,105.8817,46.27,49,100,7.38,RU,1682674208
113,salalah,17.0151,54.0924,89.69,66,40,16.11,OM,1682674209
114,nguigmi,14.2495,13.1092,94.23,16,41,9.91,NE,1682674210
115,ryotsu-minato,38.0833,138.4333,58.48,61,3,10.09,JP,1682674210
116,forster,-32.1667,152.5167,65.37,83,21,13.78,AU,1682674211
117,praia da vitoria,38.7333,-27.0667,62.85,72,40,20.07,PT,1682674212
118,gadzhiyevo,69.2551,33.3362,31.68,78,3,19.71,RU,1682674213
119,sanctuary point,-35.1114,150.629,71.33,76,100,3.09,AU,1682674214
120,ivdel',60.6911,60.4206,45.93,36,71,5.08,RU,1682674075
121,yuzhno-kurilsk,44.0306,145.8556,39.16,66,29,4.72,RU,1682674173
122,fantanele,46.1167,21.4,55.11,38,0,4.61,RO,1682674216
123,bamboo flat,11.7,92.7167,86.31,66,62,3.44,IN,1682674216
124,mount pearl,47.5166,-52.7813,32.85,94,100,14.97,CA,1682674182
125,fort mcmurray,56.7268,-111.381,49.51,49,100,5.75,CA,1682674041
126,basco,20.4487,121.9702,79.09,88,27,14.54,PH,1682674218
127,i-n-salah,27.1935,2.4607,98.73,7,0,24.16,DZ,1682674220
128,ishigaki,24.3448,124.1572,77.13,83,75,9.22,JP,1682674123
129,essaouira,31.5125,-9.77,67.5,82,75,6.91,MA,1682674222
130,kanniyakumari,8.0833,77.5667,86.41,68,62,12.44,IN,1682674222
131,tralee,52.2704,-9.7026,55.65,94,100,8.05,IE,1682674223
132,yanliang,34.6592,109.2292,67.19,33,90,6.64,CN,1682674224
133,frantiskovy lazne,50.1203,12.3517,49.32,93,100,5.17,CZ,1682674224
134,bredasdorp,-34.5322,20.0403,65.93,53,8,10.4,ZA,1682673749
135,aripuana,-9.1667,-60.6333,70.38,99,100,1.03,BR,1682674144
136,wailua homesteads,22.0669,-159.378,70.59,86,100,5.75,US,1682674083
137,taoudenni,22.6783,-3.9836,100.96,7,0,18.99,ML,1682674226
138,el nido,11.1858,119.3956,83.8,75,17,11.23,PH,1682674227
139,port elizabeth,-33.918,25.5701,76.1,56,40,3.44,ZA,1682674055
140,mexico,15.0646,120.7198,96.51,43,5,8.37,PH,1682674229
141,kerikeri,-35.2268,173.9474,59.92,89,100,9.89,NZ,1682674043
142,georgetown,5.4112,100.3354,89.55,70,20,11.5,MY,1682674072
143,montepuez,-13.1256,38.9997,79.25,57,9,5.7,MZ,1682674230
144,geraldton,-28.7667,114.6,73.81,23,0,19.57,AU,1682674231
145,al bawiti,28.3492,28.8659,73.87,29,0,11.92,EG,1682674158
146,afaahiti,-17.75,-149.2833,76.87,80,81,10.16,PF,1682674080
147,fiambala,-27.6871,-67.6149,65.37,25,0,2.57,AR,1682674232
148,kingston,17.997,-76.7936,79.75,82,20,9.22,JM,1682674108
149,lorengau,-2.0226,147.2712,81.68,78,92,2.06,PG,1682674233
150,whitehorse,60.7161,-135.0538,36.37,60,20,14.97,CA,1682674004
